"material","value","passage"
"CoCrFeNiNb0.155 HEA",321,"Microstructural evolution, mechanical and corrosion behaviors of as-annealed CoCrFeNiMo x (x = 0, 0.2, 0.5, 0.8, 1) high entropy alloys. Therein, the σ-phase rich CoCrFeNiV and CoCrFeNiMnV HEAs possessed high hardness and strengthen, but were very brittle. In CoCrFeNiNb x HEA system [8], the result showed that the CoCrFeNiNb0.155 HEA exhibited the most promising tensile properties with the yield strength, fracture strength and plastic strain of 321 MPa, 744 MPa and 21.3%, respectively."
"MoCrTi–10Al",1350,"Controlling crystallographic ordering in Mo–Cr–Ti–Al high entropy alloys to enhance ductility. Besides, T hom slightly decreases for constant, absolute testing temperature due to the increasing absolute T s through the Al reduction – therefore, an opposite trend regarding ductility was expected which is not the case. The plateau yield strength drops by about 375 MPa, considering the phase change from B2 to A2 , even though the composition did not vary significantly between MoCrTi–10Al (1350 MPa) and MoCrTi–5Al (975 MPa)."
"MoCrTi–5Al",975,"Controlling crystallographic ordering in Mo–Cr–Ti–Al high entropy alloys to enhance ductility. Besides, T hom slightly decreases for constant, absolute testing temperature due to the increasing absolute T s through the Al reduction – therefore, an opposite trend regarding ductility was expected which is not the case. The plateau yield strength drops by about 375 MPa, considering the phase change from B2 to A2 , even though the composition did not vary significantly between MoCrTi–10Al (1350 MPa) and MoCrTi–5Al (975 MPa)."
"NbMoTaW RHEA",1058,"First-principle calculation investigation of NbMoTaW based refractory high entropy alloys. Salishchev et al. found V addition could improve significantly CoCrFeNi-based high entropy alloy’s hardness from 160 Hv to 524 Hv and the compressive yield strength from σ0.2 = 190 MPa–1435 MPa [13]. Especially, V addition was demonstrated to be effectively improve the mechanical properties of NbMoTaW RHEA such as improving the compressive yield strength from σ0.2 = 1058 MPa–1246 MPa based on the experiments [11]."
"CoCrFeNi-based high entropy alloy",190,"First-principle calculation investigation of NbMoTaW based refractory high entropy alloys. Salishchev et al. found V addition could improve significantly CoCrFeNi-based high entropy alloy’s hardness from 160 Hv to 524 Hv and the compressive yield strength from σ0.2 = 190 MPa–1435 MPa [13]. Especially, V addition was demonstrated to be effectively improve the mechanical properties of NbMoTaW RHEA such as improving the compressive yield strength from σ0.2 = 1058 MPa–1246 MPa based on the experiments [11]."
"HEA-S2",381,"Chemical architecturation of high entropy alloys through powder metallurgy. Second, the yield strengths are given in Table 1. The yield strengths of HEA-S1 and HEA-S2 are respectively 370 and 381 MPa."
"HEA-S1",370,"Chemical architecturation of high entropy alloys through powder metallurgy. Second, the yield strengths are given in Table 1. The yield strengths of HEA-S1 and HEA-S2 are respectively 370 and 381 MPa."
"CoCrFeMnNi HEA",346,"Chemical architecturation of high entropy alloys through powder metallurgy. Otto et al. [35] and Sun et al. [36] have processed CoCrFeMnNi HEA alloys (i.e.: the same composition than HEA-S1 and HEA-S2) with varying grain sizes by melting, casting and thermomechanical treatments. For a grain size of 5 μm, a tensile yield strength of 346 and 413 MPa is calculated with the Hall & Petch coefficients of respectively Otto et al. [35] and Sun et al. [36]."
"(HEA + Ni)-S1",331,"Chemical architecturation of high entropy alloys through powder metallurgy. Despite the fact that here compression tests were performed on HEA prepared by powder metallurgy, this is in very good agreement with our results. The yield strengths of (HEA + Ni)-S1 and (HEA + Ni)-S2 are respectively 331 and 315 MPa."
"(HEA + Ni)-S1",331,"Chemical architecturation of high entropy alloys through powder metallurgy. The yield strengths of (HEA + Ni)-S1 and (HEA + Ni)-S2 are respectively 331 and 315 MPa. Finally, the yield strength of Ni-S2 is 120 MPa."
"chemically architectured alloys",330,"Chemical architecturation of high entropy alloys through powder metallurgy. The width of variation of Mn is slightly larger. - The compression yield strength of chemically architectured alloys is around 330 MPa."
"chemically architectured alloys",330,"Chemical architecturation of high entropy alloys through powder metallurgy. The width of variation of Mn is slightly larger. The compression yield strength of chemically architectured alloys is around 330 MPa."
"(HEA + Ni)-S2",315,"Chemical architecturation of high entropy alloys through powder metallurgy. Despite the fact that here compression tests were performed on HEA prepared by powder metallurgy, this is in very good agreement with our results. The yield strengths of (HEA + Ni)-S1 and (HEA + Ni)-S2 are respectively 331 and 315 MPa."
"(HEA + Ni)-S2",315,"Chemical architecturation of high entropy alloys through powder metallurgy. The yield strengths of (HEA + Ni)-S1 and (HEA + Ni)-S2 are respectively 331 and 315 MPa. Finally, the yield strength of Ni-S2 is 120 MPa."
"Ni-S2",120,"Chemical architecturation of high entropy alloys through powder metallurgy. The yield strengths of (HEA + Ni)-S1 and (HEA + Ni)-S2 are respectively 331 and 315 MPa. Finally, the yield strength of Ni-S2 is 120 MPa."
"Chemically Architectured Alloys",86,"Chemical architecturation of high entropy alloys through powder metallurgy. Then, by using the yield strength of Ni-S2 and HEA-S1 a contribution of the Ni and HEA phases of 60 and 185 MPa respectively are calculated according to the mixture law. The remaining of the yield strength of chemically architectured alloys represents 86 MPa and corresponds to the effect of chemical architecturation σchem."
"CrMnFeNi + RE Y",1440,"Effects of the element La on the corrosion properties of CrMnFeNi high entropy alloys. There have been several reports regarding the effect of RE addition into HEAs on the mechanical properties [31]. Zhang et al. [32] discovered that the minor addition of RE element Y significantly increased the Vickers hardness from 146 to 400 HV and the yield strength from 202 to 1440 MPa."
"Bulk nanocrystalline boron-doped VNbMoTaW high entropy alloy (calculated yield strength)",5900,"Bulk nanocrystalline boron-doped VNbMoTaW high entropy alloys with ultrahigh strength, hardness, and resistivity. Consequently, the calculated value of Δ σ D i s is 0.80 GPa. As a result, the calculated yield strength is ∼5.9 GPa, close to the measured yield strength of 5.7 GPa."
"(VNbMoTaW)99B1 HEAs",5700,"Bulk nanocrystalline boron-doped VNbMoTaW high entropy alloys with ultrahigh strength, hardness, and resistivity. three times that of the corresponding CG counterparts. In situ compression test indicates that the bulk NC (VNbMoTaW)99B1 HEAs consolidated at 1350 °C exhibit an ultrahigh yield strength of ∼5.7 GPa and a total engineering strain of ∼9.7%, which are ∼ 5–6 times that of the CG counterparts, respectively."
"boron-doped VNbMoTaW high entropy alloys",5700,"Bulk nanocrystalline boron-doped VNbMoTaW high entropy alloys with ultrahigh strength, hardness, and resistivity. The engineering stress vs. displacement curve measured during the compression is plotted in Fig. 7(c). The yield strength ( σ y ) and ultimate strength ( σ u ) are 5.7 and 6.3 GPa, respectively, which are ∼ 4.6 and ∼5 times that of the CG VNbMoTaW HEAs [8]."
"CG VNbMoTaW HEA",1250,"Bulk nanocrystalline boron-doped VNbMoTaW high entropy alloys with ultrahigh strength, hardness, and resistivity. The intrinsic yield strength σ 0 of the (VNbMoTaW)99B1 HEAs is not available in the literature since this alloy has not been studied. Thus, the yield strength of ∼1.25 GPa for CG VNbMoTaW HEA reported in Ref. [28] is approximately taken as the intrinsic yield strength σ 0 in this study."
"Al0.1CoCrFeNi",250,"Influence of lattice distortion on stacking fault energies of CoCrFeNi and Al-CoCrFeNi high entropy alloys. Li et al. [51] measured the yield strength of Al-CoCrFeNi alloy at temperature of 298 K and strain rate of 2 × 10^(-4) s^(-1). The yield strength decreases from 250 MPa for Al0.1CoCrFeNi to 220 MPa for Al0.3CoCrFeNi, in agreement with our calculated Al dependence of the slip energy barriers."
"Al0.3CoCrFeNi",220,"Influence of lattice distortion on stacking fault energies of CoCrFeNi and Al-CoCrFeNi high entropy alloys. Li et al. [51] measured the yield strength of Al-CoCrFeNi alloy at temperature of 298 K and strain rate of 2 × 10^(-4) s^(-1). The yield strength decreases from 250 MPa for Al0.1CoCrFeNi to 220 MPa for Al0.3CoCrFeNi, in agreement with our calculated Al dependence of the slip energy barriers."
"Ti0.5ZrNbTaMo",1580,"Mechanical, corrosion, and wear properties of biomedical Ti–Zr–Nb–Ta–Mo high entropy alloys. Fig. 5 exhibits the compression stress-strain curves of the TixZrNbTaMo (x = 0.5, 1, 1.5, and 2) HEAs at room temperature. As the Ti content increases, the yield strength of the Ti–Zr–Nb–Ta–Mo HEAs gradually decreases from 1,580 MPa for the Ti0.5ZrNbTaMo alloy to 1,440 MPa for the Ti2ZrNbTaMo alloy."
"Ti2ZrNbTaMo",1440,"Mechanical, corrosion, and wear properties of biomedical Ti–Zr–Nb–Ta–Mo high entropy alloys. Fig. 5 exhibits the compression stress-strain curves of the TixZrNbTaMo (x = 0.5, 1, 1.5, and 2) HEAs at room temperature. As the Ti content increases, the yield strength of the Ti–Zr–Nb–Ta–Mo HEAs gradually decreases from 1,580 MPa for the Ti0.5ZrNbTaMo alloy to 1,440 MPa for the Ti2ZrNbTaMo alloy."
"Ti–Nb–Zr–Ta–Mo HEA",1400,"Mechanical, corrosion, and wear properties of biomedical Ti–Zr–Nb–Ta–Mo high entropy alloys. Recent studies have reported the equiatomic Ti–Nb–Zr–Ta–Mo HEA for biomedical applications [24,25]. This HEA showed high compressive yield strengths up to 1400 MPa and high microhardness of 4.9 GPa [24,25]."
"CoCr2.5FeNi2TiW0.5 high entropy alloys",452,"An important improvement of strength and ductility on a new type of CoCr2.5FeNi2TiW0.5 high entropy alloys under two different protective gases by selective laser melting. It is clear from Fig. 10 that the tensile strength and elongation of the Ar-protected samples are lower than those of the N2-protected samples. The yield strength (YS) of the SLM obtained in the horizontal direction under the Ar atmosphere was 452 MPa; the ultimate tensile strength (UTS) showed about 869 MPa and the total elongation (ε) was about 9.1%."
"Al0.2Co1.5CrFeNi1.5Ti0.55Si0.1 HEA",1350,"Improving mechanical properties and tribological performance of Al0.2Co1.5CrFeNi1.5Ti0.5 high entropy alloys via doping Si. The hardness of the Si doped alloy was proportional to the Si content from 25 to 800 °C. (2) The Al0.2Co1.5CrFeNi1.5Ti0.55Si0.1 HEA showed good comprehensive mechanical properties as the yield strength, compression strength, and fracture toughness was 1350 MPa, 2082 MPa, and 36.2 MPa m^(1/2), respectively."
"Al0.2Co1.5CrFeNi1.5Ti0.55Si0.1 HEA",1350,"Improving mechanical properties and tribological performance of Al0.2Co1.5CrFeNi1.5Ti0.5 high entropy alloys via doping Si. The hardness of the Si doped alloy was proportional to the Si content from 25 to 800 °C. The Al0.2Co1.5CrFeNi1.5Ti0.55Si0.1 HEA showed good comprehensive mechanical properties as the yield strength, compression strength, and fracture toughness was 1350 MPa, 2082 MPa, and 36.2 MPa m^(1/2), respectively."
"AlCrFeNi (with 3 at% Mo and 5 at% Ti)",1704,"Nano-scale structural evolution of quaternary AlCrFeNi based high entropy alloys by the addition of specific minor elements and its effect on mechanical characteristics. The results of yield strength, compressive strain and density of the alloys are summarized and compared with previous HEAs in Table 4. As it is visible in Fig. 7, yield strength of AlCrFeNi based HEA enhanced from 1389 to 1704 MPa while adding a small amount of minor elements such as 3 at% of Mo and 5 at% of Ti."
